단계,종류,형식(보기:선택지),문제,보기,선택지1,선택지2,선택지3,선택지4,정답
3,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,상계하다.,내가 받을 돈과 그에게 갚을 돈을 서로 상계하기로 했다.,그는 새 출발을 위해 과거의 기억을 모두 상계하기로 마음먹었다.,여행에 필요한 총 경비를 미리 상계해 보았다.,컴퓨터의 불필요한 파일을 상계하여 용량을 확보했다.,1
3,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,명징하게,들뜬 분위기 속에서,매우 화려하고 번쩍이게,냉정하고 차갑게,명확하고 분명하게,4
3,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,방증하다.,어떤 사실을 간접적으로 증명하다.,법적인 절차를 밟다.,어떤 사실이 옳지 않음을 증명함.,공식적인 문서로 작성하다.,1
3,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,너 참 '이지적인' 아이구나,남을 배려할줄 모른다.,다루기 쉬운 사람이다.,지적인 분위기가 있다,활발하고 발랄하다,3
3,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,할아버지의 '진갑'을 맞아 전국에서 친지들이 모였다.,회갑을 다시 맞이함,70세,61세,'지천명'의 나이,3
3,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,'당해' 규정을 준수해야 한다.,금년,구체적인 대상이나 범위,새롭게 통과된,관련된 모든 것,2
3,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,그 팀은 이번 대회도 '연패'하여 구단주에게 기쁨을 안겨 주었다.,계속해서 지다.,불리한 상황을 모면하다.,계속해서 우승하다.,한 번도 지지 않다.,3
3,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,회계 처리는 이미 '경료'하였다.,일을 마무리하다.,알맞게 수정하다.,장부를 작성하다.,상급자에게 보고하다.,1
3,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,한 달만에 영업을 재개하였다.,그녀와 만난 지도 일주일이 지났다.,,,2
3,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,쉬는 시간만큼은 보장해야한다.,난 너 밖에 없다.,,,1
3,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,툇간,인삿말,수돗세,죄값,1
3,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,나는 한 입을 먹었을 뿐이다.,나를 도와줄 사람은 너 뿐이다.,,,1
3,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,입사 지원서를 작성중입니다,입사 지원서를 작성 중입니다,입사 지원서를 작성중 입니다,입사 지원서를 작성 중 입니다,2
3,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,그는 나에게 큰 힘이 되어 주었다.,그는 나에게 큰 힘이 되어주었다.,,,1
3,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,회의는 예정 대로 진행되었다.,회의는 예정대로 진행되었다.,,,2
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,가치를 깎아내려 낮게 평가함,격상,폄하,찬미,앙양,2
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,전화나 주문 따위가 한꺼번에 세차게 밀려듦,점증,쇄도,감축,분산,2
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,말이나 글 속에 어떠한 뜻을 품고 있음,직설,함의,표명,공표,2
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,어떤 일을 되풀이하여 생각하거나 음미함,망각,반추,단념,예견,2
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,남을 속여 넘김,기만,신뢰,정직,고지,1
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,이유나 사정을 자세히 설명하여 오해나 의혹을 풂,소명,명령,질책,은닉,1
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,책임이나 부담 등을 다른 사람에게 떠넘김,인수,전가,감수,분담,2
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,마음속 생각을 솔직하게 털어놓아 말함,묵비,피력,암시,경청,2
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,큰 관심 없이 대강 보아 넘기거나 중요하게 생각하지 않고 지나침,주시,간과,통찰,숙고,2
3,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,와신상담,매우 편안하게 잠을 자는 모습,부모님께 효도를 다하는 자세,목적을 이루기 위해 온갖 어려움을 참고 견딤,겉과 속이 다른 음흉한 마음,3
3,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,각주구검,융통성이 없고 어리석으며 시대의 변화를 모름,배를 타고 여행하는 즐거움,칼을 잃어버리고 슬퍼함,예것을 소중히 여기는 마음,1
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,매우 위태롭고 어려운 지경,금상첨화,백척간두,안분지족,유유자적,2
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,진실을 숨기거나 본질을 흐려 남을 속이려 함,호도,천명,공표,직시,1
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,"근본적인 해결책이 아닌, 임시방편으로 대충 처리함",발본색원,정공법,완전무결,미봉,4
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,한 번 실패했으나 힘을 길러 다시 쳐들어옴,권토중래,자포자기,용두사미,속수무책,1
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,자신의 줏대 없이 남의 의견을 덩달아 따름,부화뇌동,독불장군,유아독존,갑론을박,1
3,어휘력,문장:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,이치에 맞지 않는 말을 억지로 끌어다 붙여 자기주장을 합리화함,견강부회,사필귀정,논리정연,이심전심,1
3,어휘력,,다음 문장의 빈칸에 들어갈 가장 알맞은 단어는?,그는 이번 사태의 책임을 ( )하며 즉시 사퇴를 발표했다.,통감,방관,호도,전가,1
3,어휘력,,다음 문장의 빈칸에 들어갈 가장 알맞은 단어는?,두 사람의 진술이 정면으로 ( )되어 수사에 혼선을 빚고 있다.,상쇄,상충,상응,상기,2
3,어휘력,,다음 문장의 빈칸에 들어갈 가장 알맞은 단어는?,그는 경쟁사의 기밀 문서를 ( )할 목적으로 접근했다.,사장,사사,사수,사취,4
3,어휘력,,다음 문장의 빈칸에 들어갈 가장 알맞은 단어는?,정부는 경제 위기를 극복하기 위한 모든 대책을 ( )하기로 했다.,강구,강변,강권,강매,1
3,어휘력,,다음 문장의 빈칸에 들어갈 가장 알맞은 단어는?,그의 주장은 논리적 ( )이 심해 청중을 설득하지 못했다.,비약,비상,비견,비호,1
3,어휘력,,다음 문장의 빈칸에 들어갈 가장 알맞은 단어는?,"그는 자신의 지난 잘못을 깨닫고 ( )의 눈물을 흘렸다.""",폄하,참회,기만,방증,2
3,어휘력,,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,어떤 일을 되풀이하여 생각하거나 음미함'을 뜻하는 단어는?,반증,반추,방임,방조,2
